time,total_cab_power
46500.0,14709.8915
46560.0,14666.237763
46620.0,14817.39152
46680.0,14962.483932
46740.0,14594.444721
46800.0,14652.7184
46860.0,14377.449237
46920.0,14956.091741
46980.0,14588.36629
47040.0,14810.581957
47100.0,14441.141563
47160.0,14139.487703
47220.0,15036.87233
47280.0,14590.072143
47340.0,14702.766953999999
47400.0,14508.287855999999
47460.0,14554.0646
47520.0,14673.856462
47580.0,14560.032995
47640.0,14990.853019999999
47700.0,14956.91073
47760.0,15149.42513
47820.0,14526.993714
47880.0,14507.111326999999
47940.0,14873.10313
48000.0,14871.130938
48060.0,14861.554995999999
48120.0,13998.699299
48180.0,14822.817310999999
48240.0,14584.680016999999
48300.0,15018.26
48360.0,14862.737637
48420.0,14833.699578
48480.0,14612.07223
48540.0,14708.150588999999
48600.0,14811.41078
48660.0,14518.48
48720.0,14746.69928
48780.0,14699.055
48840.0,15032.23765
48900.0,14559.954465
48960.0,14835.929952999999
49020.0,14658.621169
49080.0,13253.718512
49140.0,11808.309632
49200.0,9337.660784
49260.0,7339.957773
49320.0,7306.208282
49380.0,8984.506933
49440.0,8901.160753
49500.0,7262.981890999999
49560.0,7326.849833
49620.0,7274.132828
49680.0,9671.583883
49740.0,8135.208328
49800.0,7254.833853
49860.0,7303.849774
49920.0,7247.189417
49980.0,8565.660378
50040.0,11752.248617
50100.0,11828.359224
50160.0,13101.895677
50220.0,14783.180040000001
50280.0,15198.91077
50340.0,32531.105138
50400.0,14441.307411
50460.0,14661.503549000001
50520.0,14305.661135
50580.0,14893.778027
50640.0,14640.113925
50700.0,14697.856447
50760.0,15141.8146
50820.0,14788.43
50880.0,14878.64147
50940.0,14901.8565
51000.0,14714.72
51060.0,14464.00691
51120.0,13444.429952999999
51180.0,14554.475892999999
51240.0,14917.170161
51300.0,14727.756879999999
51360.0,14912.256949999999
51420.0,15062.919999999998
51480.0,29859.9
51540.0,14841.287908
51600.0,14968.542739999999
51660.0,14706.56
51720.0,14969.56462
51780.0,15057.170226
51840.0,14985.94926
51900.0,14909.307455
51960.0,14772.934869
52020.0,14786.091809
52080.0,13545.776163
52140.0,14884.77615
52200.0,15081.170251
52260.0,14947.562386
52320.0,14471.503575
52380.0,14911.85649
52440.0,14872.680014
52500.0,14854.032948
52560.0,14636.483971
52620.0,14609.75695
52680.0,14775.96847
52740.0,14532.52617
52800.0,14843.385898999999
52860.0,14868.468497
52920.0,14494.248669999999
52980.0,14896.836863
53040.0,13891.026173
53100.0,14567.430033
53160.0,14672.915253
53220.0,14523.327044
53280.0,14641.20945
53340.0,14833.013347
53400.0,14845.822823999999
53460.0,15036.091829
53520.0,15110.37239
53580.0,14522.603084
53640.0,15033.248652
53700.0,14975.6996
53760.0,15169.483905
53820.0,14864.797628
53880.0,15092.464351
53940.0,14691.346658
54000.0,13813.314621
54060.0,14329.32
54120.0,14414.10304
54180.0,14530.09182
54240.0,15159.46427
54300.0,15008.621198
54360.0,14862.064559999999
54420.0,14960.562341
54480.0,14910.58388
54540.0,14780.04536
54600.0,14859.052605
54660.0,14847.26
54720.0,14204.449307
54780.0,14759.14149
54840.0,14515.91079
54900.0,15084.934909
54960.0,13850.891521
55020.0,12744.000711
55080.0,11787.717706
55140.0,14205.189753999999
55200.0,14735.5838
55260.0,14754.640814
55320.0,14989.268252
55380.0,14680.876036
55440.0,14786.96842
55500.0,14800.129014
55560.0,14658.679997
55620.0,14496.974017999999
55680.0,14386.660747
55740.0,15151.915272999999
55800.0,14241.75693
55860.0,14665.31458
55920.0,33988.2
55980.0,14699.464316
56040.0,14582.405411
56100.0,14125.954487
56160.0,15031.75693
56220.0,15073.483909
56280.0,14390.472461
56340.0,14720.327014
56400.0,15239.37238
56460.0,14793.072206
56520.0,14406.180004
56580.0,15069.248588999999
56640.0,14598.83384
56700.0,14402.719160999999
56760.0,14915.170183
56820.0,14903.4
56880.0,14233.622306
56940.0,14965.581901
57000.0,14646.562399999999
57060.0,14086.954514
57120.0,14891.3
57180.0,14922.876033999999
57240.0,14602.032967
57300.0,14509.045399999999
57360.0,14489.622266999999
57420.0,14888.62226
57480.0,14639.758493
57540.0,14991.39154
57600.0,14697.910759999999
57660.0,14437.974137
57720.0,15136.25692
57780.0,14646.199209999999
57840.0,14856.603009999999
57900.0,14681.778045
57960.0,15209.836942
58020.0,13558.013279
58080.0,15206.836894
58140.0,14969.81458
58200.0,14832.091787
58260.0,14800.66071
58320.0,15071.10307
58380.0,15057.64152
58440.0,14694.072172
58500.0,15010.934915
58560.0,14735.89152
58620.0,14968.64074
58680.0,14966.986083
58740.0,14636.67996
58800.0,14738.660364
58860.0,14911.307415
58920.0,14230.859999999999
58980.0,14000.562316
59040.0,14688.52
59100.0,15075.66074
59160.0,15189.170211
59220.0,14787.915331
59280.0,14799.52617
59340.0,15052.42
59400.0,15157.179976
59460.0,14779.405438
59520.0,14737.797636
59580.0,14831.14153
59640.0,15168.091781
59700.0,14674.295337
